Map Detail Name,Selected Detail Level,Selected Geographic Level ,Latitude (generated),Longitude (generated),Number of Victimisations
Woodridge.,Area Unit,Polygon,-41.218522586,174.830969620,55
Wilton.,Area Unit,Polygon,-41.269439830,174.758841175,170
Willis Street-Cambridge Terrace.,Area Unit,Polygon,-41.293222022,174.779452507,11387
Wellington City-Marinas.,Area Unit,,,,24
Wadestown.,Area Unit,Polygon,-41.261589412,174.774328259,565
Vogeltown.,Area Unit,Polygon,-41.313344961,174.768446952,113
Vogeltown West.,Area Unit,Polygon,-41.312222080,174.765862734,123
Thorndon-Tinakori Road.,Area Unit,Polygon,-41.269481763,174.781776468,1854
Te Kainga.,Area Unit,Polygon,-41.251184398,174.793100913,298
Tawa South.,Area Unit,Polygon,-41.178907479,174.822907645,596
Tawa Central.,Area Unit,Polygon,-41.170319079,174.820188483,794
Takapu.,Area Unit,Polygon,-41.171861540,174.846878295,11
Taitville.,Area Unit,Polygon,-41.291668407,174.757258365,80
Strathmore Park.,Area Unit,Polygon,-41.330223168,174.823087081,525
Seatoun.,Area Unit,Polygon,-41.330220608,174.829581850,158
Seatoun Tunnel West.,Area Unit,Polygon,-41.323240251,174.822745274,42
Roseneath.,Area Unit,Polygon,-41.292287537,174.801926957,559
Raroa.,Area Unit,Polygon,-41.227635217,174.797639796,354
Rangoon Heights.,Area Unit,Polygon,-41.246095928,174.801089321,246
Paparangi.,Area Unit,Polygon,-41.218596823,174.819308183,116
Paparangi West.,Area Unit,Polygon,-41.216371783,174.816151279,76
Oriental Bay.,Area Unit,Polygon,-41.291254923,174.794291266,209
Northland.,Area Unit,Polygon,-41.280936823,174.759292997,437
Northland North.,Area Unit,Polygon,-41.275272925,174.760556247,115
Ngauranga West.,Area Unit,Polygon,-41.242994732,174.806112818,53
Ngauranga East.,Area Unit,Polygon,-41.240477072,174.813095003,73
Ngaio South.,Area Unit,Polygon,-41.255991339,174.774614115,299
Newtown West.,Area Unit,Polygon,-41.312685666,174.776299077,1027
Newtown East.,Area Unit,Polygon,-41.319476346,174.783634833,1186
Newlands South.,Area Unit,Polygon,-41.230520528,174.825310415,413
Newlands North.,Area Unit,Polygon,-41.224429248,174.819446539,540
Newlands East.,Area Unit,Polygon,-41.226566093,174.833376534,22
Mt Victoria West.,Area Unit,Polygon,-41.295981167,174.789097474,1315
Mt Cook-Wallace Street.,Area Unit,Polygon,-41.303277366,174.774196729,1506
Mitchelltown.,Area Unit,Polygon,-41.295320164,174.755760459,119
Miramar.,Area Unit,Polygon,-41.315011638,174.822121146,408
Miramar West.,Area Unit,Polygon,-41.311355189,174.815066918,74
Miramar South.,Area Unit,Polygon,-41.319803282,174.817195230,659
Miramar North.,Area Unit,Polygon,-41.305398486,174.824713288,203
Melrose-Houghton Bay-Southgate.,Area Unit,Polygon,-41.337573674,174.786372645,486
Maupuia.,Area Unit,Polygon,-41.297050961,174.823724131,133
Makara-Ohariu.,Area Unit,Polygon,-41.270305075,174.698124577,95
Lyall Bay-Airport-Moa Point.,Area Unit,Polygon,-41.335356679,174.807138911,1433
Linden.,Area Unit,Polygon,-41.155638180,174.832347760,658
Lambton.,Area Unit,Polygon,-41.286018223,174.774702614,5697
Kingston-Mornington.,Area Unit,Polygon,-41.321294179,174.764718216,247
Kilbirnie West-Hataitai South.,Area Unit,Polygon,-41.312681948,174.794348741,615
Kilbirnie East.,Area Unit,Polygon,-41.318746043,174.799375225,1566
Khandallah Park-Broadmeadows.,Area Unit,Polygon,-41.237023951,174.787129765,144
Kelburn.,Area Unit,Polygon,-41.288568004,174.762658716,867
Karori South.,Area Unit,Polygon,-41.292896671,174.731948096,251
Karori Park.,Area Unit,Polygon,-41.290902693,174.723999975,336
Karori North.,Area Unit,Polygon,-41.276944356,174.748084541,315
Karori East.,Area Unit,Polygon,-41.295746753,174.745690487,260
Karaka Bay-Worser Bay.,Area Unit,Polygon,-41.309701494,174.829503773,130
Kaiwharawhara.,Area Unit,Polygon,-41.258264652,174.789508643,134
Johnsonville North.,Area Unit,Polygon,-41.216830310,174.804862856,183
Johnsonville East.,Area Unit,Polygon,-41.223745755,174.811789272,145
Johnsonville Central.,Area Unit,Polygon,-41.222315625,174.800817667,1744
Island Bay West.,Area Unit,Polygon,-41.344367463,174.766410675,322
Island Bay East.,Area Unit,MultiPolygon,-41.341621849,174.776340827,311
Horokiwi.,Area Unit,Polygon,-41.218554767,174.847020674,26
Hataitai North.,Area Unit,Polygon,-41.302052638,174.800199330,772
Happy Valley-Owhiro Bay.,Area Unit,Polygon,-41.342862242,174.757529044,122
Grenada Village.,Area Unit,Polygon,-41.204733263,174.822500865,113
Grenada North.,Area Unit,Polygon,-41.186535186,174.839758972,109
Greenacres.,Area Unit,Polygon,-41.167050027,174.837343524,68
Glenside North.,Area Unit,Polygon,-41.198090082,174.818240035,71
Crofton Downs.,Area Unit,Polygon,-41.258580921,174.765151997,199
Churton Park South.,Area Unit,Polygon,-41.211771706,174.804829882,128
Churton Park North.,Area Unit,Polygon,-41.201932917,174.808304213,180
Brooklyn.,Area Unit,Polygon,-41.305192415,174.761081879,558
Brooklyn South.,Area Unit,Polygon,-41.311946342,174.757861953,32
Berhampore West.,Area Unit,Polygon,-41.321378290,174.772730212,574
Berhampore East.,Area Unit,Polygon,-41.325441276,174.778989043,161
Awarua.,Area Unit,Polygon,-41.245643862,174.772456364,141
Aro Street-Nairn Street.,Area Unit,Polygon,-41.297543254,174.766615162,1026
Adelaide.,Area Unit,Polygon,-41.305658621,174.781208475,777